time,unsigned_flux
50.0,8.538264e+21
50.2,8.486222e+21
50.4,8.497686e+21
50.6,8.604288e+21
50.8,8.695244e+21
51.0,8.728907e+21
51.2,8.822635e+21
51.4,8.877838e+21
51.6,8.898710e+21
51.8,8.866814e+21
52.0,8.901538e+21
52.2,8.925810e+21
52.4,8.923519e+21
52.6,8.917449e+21
52.8,8.942642e+21
53.0,8.923408e+21
53.2,8.798369e+21
53.4,8.772423e+21
53.6,8.606277e+21
54.2,8.388098e+21
54.4,8.283712e+21
54.6,8.216425e+21
54.8,8.188103e+21
55.0,8.223534e+21
55.2,8.224464e+21
55.4,8.233785e+21
55.6,8.340985e+21
55.8,8.314320e+21
56.0,8.505155e+21
56.2,8.481032e+21
56.4,8.636118e+21
56.6,8.751668e+21
56.8,8.791350e+21
57.0,8.798039e+21
57.2,8.805385e+21
57.4,8.758134e+21
57.6,8.682775e+21
57.8,8.585840e+21
58.0,8.526936e+21
58.2,8.363904e+21
58.4,8.257316e+21
58.6,8.134507e+21
58.8,8.104775e+21
59.0,8.022509e+21
59.2,7.985368e+21
59.4,7.950653e+21
59.6,7.906119e+21
59.8,7.929472e+21
60.0,7.936462e+21
60.2,7.941742e+21
60.4,7.964469e+21
60.6,7.985430e+21
60.8,7.969890e+21
61.0,7.889425e+21
61.2,7.906702e+21
61.4,7.875332e+21
61.6,7.985293e+21
61.8,7.977967e+21
62.0,7.979968e+21
62.2,7.922106e+21
62.4,8.050104e+21
62.6,8.029127e+21
62.8,7.955950e+21
63.0,8.032534e+21
63.2,8.100764e+21
63.4,8.135087e+21
63.6,8.112447e+21
63.8,8.194065e+21
64.0,8.313282e+21
64.2,8.310805e+21
64.4,8.475454e+21
64.6,8.719734e+21
64.8,8.681367e+21
65.0,8.790392e+21
65.2,8.859107e+21
65.4,8.873232e+21
65.6,8.850431e+21
66.2,8.672521e+21
66.4,8.505551e+21
66.6,8.461396e+21
66.8,8.372953e+21
67.0,8.324666e+21
67.2,8.182822e+21
67.4,8.243260e+21
67.6,8.254346e+21
67.8,8.184352e+21
68.0,8.190387e+21
68.2,8.197300e+21
68.4,8.225600e+21
68.6,8.350690e+21
68.8,8.481178e+21
69.0,8.675865e+21
69.2,8.796834e+21
69.4,8.910012e+21
69.6,8.934772e+21
69.8,9.027434e+21
70.0,9.134721e+21
70.2,9.194538e+21
70.4,9.237850e+21
70.6,9.271009e+21
70.8,9.340878e+21
71.0,9.168433e+21
71.2,9.177216e+21
71.4,9.159206e+21
71.6,9.210631e+21
71.8,9.176906e+21
72.0,9.223660e+21
72.2,9.232643e+21
72.4,9.198420e+21
72.6,9.255263e+21
72.8,9.268635e+21
73.0,9.244742e+21
73.2,9.243052e+21
73.4,9.230990e+21
73.6,9.240847e+21
73.8,9.337007e+21
74.0,9.206455e+21
74.2,9.276355e+21
74.4,9.352929e+21
74.6,9.464918e+21
74.8,9.558310e+21
75.0,9.579805e+21
75.2,9.546774e+21
75.4,9.635155e+21
75.6,9.641245e+21
75.8,9.609404e+21
76.0,9.619803e+21
76.2,9.677332e+21
76.4,9.676936e+21
76.6,9.657279e+21
76.8,9.650547e+21
77.0,9.671557e+21
77.2,9.724150e+21
77.4,9.564866e+21
77.6,9.431393e+21
