true_time,time,unsigned_flux
2013.12.28_07:12:00_TAI,0.0,3.666569e+20
2013.12.28_07:24:00_TAI,0.2,4.441672e+20
2013.12.28_07:36:00_TAI,0.4,5.884221e+20
2013.12.28_07:48:00_TAI,0.6,6.549643e+20
2013.12.28_08:00:00_TAI,0.8,6.630263e+20
2013.12.28_08:12:00_TAI,1.0,7.137153e+20
2013.12.28_08:24:00_TAI,1.2,7.487428e+20
2013.12.28_08:36:00_TAI,1.4,8.316882e+20
2013.12.28_08:48:00_TAI,1.6,8.298019e+20
2013.12.28_09:00:00_TAI,1.8,8.560422e+20
2013.12.28_09:12:00_TAI,2.0,9.434157e+20
2013.12.28_09:24:00_TAI,2.2,1.019276e+21
2013.12.28_09:36:00_TAI,2.4,1.138814e+21
2013.12.28_09:48:00_TAI,2.6,1.152281e+21
2013.12.28_10:00:00_TAI,2.8,1.177062e+21
2013.12.28_10:12:00_TAI,3.0,1.220845e+21
2013.12.28_10:24:00_TAI,3.2,1.230065e+21
2013.12.28_10:36:00_TAI,3.4,1.306095e+21
2013.12.28_10:48:00_TAI,3.6,1.333953e+21
2013.12.28_11:00:00_TAI,3.8,1.382059e+21
2013.12.28_11:12:00_TAI,4.0,1.420204e+21
2013.12.28_11:24:00_TAI,4.2,1.477029e+21
2013.12.28_11:36:00_TAI,4.4,1.508756e+21
2013.12.28_11:48:00_TAI,4.6,1.525356e+21
2013.12.28_12:00:00_TAI,4.8,1.519108e+21
2013.12.28_12:12:00_TAI,5.0,1.577955e+21
2013.12.28_12:24:00_TAI,5.2,1.656907e+21
2013.12.28_12:36:00_TAI,5.4,1.728518e+21
2013.12.28_12:48:00_TAI,5.6,1.722512e+21
2013.12.28_13:00:00_TAI,5.8,1.776077e+21
2013.12.28_13:12:00_TAI,6.0,1.762858e+21
2013.12.28_13:24:00_TAI,6.2,1.793459e+21
2013.12.28_13:36:00_TAI,6.4,1.813214e+21
2013.12.28_13:48:00_TAI,6.6,1.835690e+21
2013.12.28_14:00:00_TAI,6.8,1.870173e+21
2013.12.28_14:12:00_TAI,7.0,1.914944e+21
2013.12.28_14:24:00_TAI,7.2,1.976079e+21
2013.12.28_14:36:00_TAI,7.4,1.992651e+21
2013.12.28_14:48:00_TAI,7.6,2.004004e+21
2013.12.28_15:00:00_TAI,7.8,2.029598e+21
2013.12.28_15:12:00_TAI,8.0,2.111221e+21
2013.12.28_15:24:00_TAI,8.2,2.166454e+21
2013.12.28_15:36:00_TAI,8.4,2.138877e+21
2013.12.28_15:48:00_TAI,8.6,2.253949e+21
2013.12.28_16:00:00_TAI,8.8,2.288650e+21
2013.12.28_16:12:00_TAI,9.0,2.394386e+21
2013.12.28_16:24:00_TAI,9.2,2.462188e+21
2013.12.28_16:36:00_TAI,9.4,2.523653e+21
2013.12.28_16:48:00_TAI,9.6,2.600201e+21
2013.12.28_17:00:00_TAI,9.8,2.661355e+21
2013.12.28_17:12:00_TAI,10.0,2.714716e+21
2013.12.28_17:24:00_TAI,10.2,2.803134e+21
2013.12.28_17:36:00_TAI,10.4,2.955234e+21
2013.12.28_17:48:00_TAI,10.6,3.008024e+21
2013.12.28_18:24:00_TAI,11.2,3.110882e+21
2013.12.28_18:36:00_TAI,11.4,3.109649e+21
2013.12.28_18:48:00_TAI,11.6,3.171775e+21
2013.12.28_19:00:00_TAI,11.8,3.327482e+21
2013.12.28_19:12:00_TAI,12.0,3.398067e+21
2013.12.28_19:24:00_TAI,12.2,3.356515e+21
2013.12.28_19:36:00_TAI,12.4,3.442678e+21
2013.12.28_19:48:00_TAI,12.6,3.444294e+21
2013.12.28_20:00:00_TAI,12.8,3.518272e+21
2013.12.28_20:12:00_TAI,13.0,3.558784e+21
2013.12.28_20:24:00_TAI,13.2,3.600440e+21
2013.12.28_20:36:00_TAI,13.4,3.569062e+21
2013.12.28_20:48:00_TAI,13.6,3.629114e+21
2013.12.28_21:00:00_TAI,13.8,3.641998e+21
