true_time,time,unsigned_flux,free energy,potential inversion line flux,area
2015.10.27_08:36:00_TAI,0.0,1.525550e+20,5.864066e+20,0.000,8.980737
2015.10.27_08:48:00_TAI,0.2,6.691901e+20,3.352482e+21,0.000,18.441841
2015.10.27_09:00:00_TAI,0.4,7.284316e+20,3.848375e+21,2.184,17.578548
2015.10.27_09:12:00_TAI,0.6,7.426106e+20,4.132570e+21,2.362,17.851519
2015.10.27_09:24:00_TAI,0.8,7.896734e+20,4.595665e+21,2.575,18.321226
2015.10.27_09:36:00_TAI,1.0,8.287535e+20,4.837768e+21,2.170,18.875311
2015.10.27_09:48:00_TAI,1.2,8.600984e+20,5.045496e+21,2.361,25.293247
2015.10.27_10:00:00_TAI,1.4,9.068040e+20,4.947103e+21,0.000,23.971933
2015.10.27_10:12:00_TAI,1.6,9.064574e+20,5.528166e+21,2.879,24.070175
2015.10.27_10:24:00_TAI,1.8,9.409488e+20,6.019188e+21,2.880,24.670124
2015.10.27_10:36:00_TAI,2.0,9.619401e+20,5.773937e+21,2.565,25.449627
2015.10.27_10:48:00_TAI,2.2,1.025916e+21,6.114201e+21,0.000,26.591049
2015.10.27_11:00:00_TAI,2.4,1.040574e+21,6.469491e+21,2.439,26.060886
2015.10.27_11:12:00_TAI,2.6,1.024616e+21,6.273102e+21,2.427,24.768444
2015.10.27_11:24:00_TAI,2.8,1.011321e+21,6.286253e+21,0.000,24.012352
2015.10.27_11:36:00_TAI,3.0,1.016027e+21,6.444960e+21,0.000,25.006977
2015.10.27_11:48:00_TAI,3.2,1.003075e+21,6.737035e+21,0.000,25.214296
2015.10.27_12:24:00_TAI,3.8,1.045390e+21,6.817965e+21,0.000,22.843309
2015.10.27_12:36:00_TAI,4.0,1.040240e+21,7.220288e+21,2.346,25.535641
2015.10.27_12:48:00_TAI,4.2,1.049472e+21,7.196428e+21,2.555,24.267126
2015.10.27_13:00:00_TAI,4.4,1.029884e+21,7.062966e+21,0.000,25.413294
2015.10.27_13:12:00_TAI,4.6,1.047173e+21,7.271541e+21,0.000,26.374266
2015.10.27_13:24:00_TAI,4.8,1.021945e+21,7.310113e+21,2.312,26.457787
2015.10.27_13:36:00_TAI,5.0,1.042088e+21,7.395366e+21,2.294,26.526270
2015.10.27_13:48:00_TAI,5.2,1.028047e+21,7.306018e+21,0.000,26.303711
2015.10.27_14:00:00_TAI,5.4,1.001316e+21,7.140661e+21,0.000,26.815088
2015.10.27_14:12:00_TAI,5.6,1.012421e+21,6.881606e+21,0.000,25.942297
2015.10.27_14:24:00_TAI,5.8,1.041130e+21,7.067129e+21,0.000,26.533997
