true_time,time,unsigned_flux,free energy,potential inversion line flux,area,y
2010.05.01_00:12:00_TAI,0.0,1.958395e+21,1.362996e+22,0.000,104.438271,0
2010.05.01_00:24:00_TAI,0.2,2.026080e+21,1.361044e+22,0.000,115.019203,0
2010.05.01_00:36:00_TAI,0.4,2.033101e+21,1.412095e+22,0.000,115.653152,0
2010.05.01_00:48:00_TAI,0.6,2.126112e+21,1.448228e+22,2.098,120.596771,0
2010.05.01_01:00:00_TAI,0.8,2.148988e+21,1.409163e+22,2.101,123.191071,0
2010.05.01_01:12:00_TAI,1.0,2.129119e+21,1.372382e+22,2.257,124.057411,0
2010.05.01_01:24:00_TAI,1.2,2.113567e+21,1.368577e+22,2.402,123.710411,0
2010.05.01_01:36:00_TAI,1.4,2.133536e+21,1.376522e+22,2.409,122.474365,0
2010.05.01_01:48:00_TAI,1.6,2.113227e+21,1.381959e+22,2.423,122.719551,0
2010.05.01_02:00:00_TAI,1.8,2.129255e+21,1.369932e+22,2.420,123.358459,0
2010.05.01_02:12:00_TAI,2.0,2.117875e+21,1.344997e+22,2.595,126.340828,0
2010.05.01_02:24:00_TAI,2.2,2.097199e+21,1.335668e+22,2.602,123.622215,0
2010.05.01_02:36:00_TAI,2.4,2.097819e+21,1.313916e+22,2.603,125.430031,0
2010.05.01_02:48:00_TAI,2.6,2.045689e+21,1.277686e+22,2.514,127.694214,0
2010.05.01_03:00:00_TAI,2.8,2.078951e+21,1.298640e+22,0.000,126.508812,0
2010.05.01_03:12:00_TAI,3.0,2.073735e+21,1.290231e+22,0.000,128.735504,0
2010.05.01_03:24:00_TAI,3.2,2.066109e+21,1.258092e+22,2.432,127.495453,0
2010.05.01_03:36:00_TAI,3.4,2.040479e+21,1.295445e+22,0.000,125.910805,0
2010.05.01_03:48:00_TAI,3.6,2.062848e+21,1.262666e+22,0.000,124.980934,0
2010.05.01_04:00:00_TAI,3.8,2.037684e+21,1.241895e+22,1.711,125.794678,0
2010.05.01_04:12:00_TAI,4.0,2.060321e+21,1.261612e+22,1.698,124.025360,0
2010.05.01_04:24:00_TAI,4.2,2.092962e+21,1.272061e+22,1.702,125.031647,0
2010.05.01_04:36:00_TAI,4.4,2.113841e+21,1.352054e+22,2.023,125.533493,0
2010.05.01_04:48:00_TAI,4.6,2.108934e+21,1.328059e+22,2.513,125.714188,0
2010.05.01_05:00:00_TAI,4.8,2.045478e+21,1.281703e+22,2.525,124.694321,0
2010.05.01_05:12:00_TAI,5.0,2.006616e+21,1.259913e+22,2.429,126.018906,0
2010.05.01_05:24:00_TAI,5.2,1.952382e+21,1.222063e+22,2.423,125.862701,0
2010.05.01_05:36:00_TAI,5.4,1.898273e+21,1.189657e+22,2.419,129.468338,0
2010.05.01_05:48:00_TAI,5.6,1.790512e+21,1.157193e+22,2.407,125.457764,0
2010.05.01_06:24:00_TAI,6.2,1.629776e+21,1.036497e+22,1.942,124.435989,0
2010.05.01_06:36:00_TAI,6.4,1.599998e+21,1.005655e+22,1.941,125.157150,0
2010.05.01_06:48:00_TAI,6.6,1.590423e+21,9.862488e+21,2.226,123.664810,0
2010.05.01_07:00:00_TAI,6.8,1.613674e+21,1.001038e+22,2.123,122.862366,0
2010.05.01_07:12:00_TAI,7.0,1.584046e+21,9.985621e+21,2.119,123.911530,0
2010.05.01_07:24:00_TAI,7.2,1.627128e+21,1.044120e+22,2.118,120.683891,0
2010.05.01_07:36:00_TAI,7.4,1.620578e+21,1.000154e+22,2.356,121.891052,0
2010.05.01_07:48:00_TAI,7.6,1.571008e+21,9.781944e+21,2.543,120.565750,0
2010.05.01_08:00:00_TAI,7.8,1.594067e+21,9.915124e+21,2.219,118.350426,0
2010.05.01_08:12:00_TAI,8.0,1.574352e+21,9.578718e+21,2.193,115.062363,0
2010.05.01_08:24:00_TAI,8.2,1.571270e+21,9.520364e+21,2.158,115.786232,0
2010.05.01_08:36:00_TAI,8.4,1.557380e+21,9.605919e+21,2.145,114.461212,0
2010.05.01_08:48:00_TAI,8.6,1.532886e+21,9.654973e+21,2.141,112.915192,0
2010.05.01_09:00:00_TAI,8.8,1.529365e+21,9.481866e+21,0.000,109.394821,0
2010.05.01_09:12:00_TAI,9.0,1.537944e+21,9.365864e+21,0.000,110.371605,0
2010.05.01_09:24:00_TAI,9.2,1.524934e+21,9.267996e+21,0.000,114.302933,0
2010.05.01_09:36:00_TAI,9.4,1.509264e+21,8.968203e+21,0.000,114.154755,0
2010.05.01_09:48:00_TAI,9.6,1.527628e+21,9.143482e+21,0.000,117.780334,0
2010.05.01_10:00:00_TAI,9.8,1.557270e+21,9.351249e+21,0.000,117.308174,0
2010.05.01_10:12:00_TAI,10.0,1.524917e+21,9.000075e+21,0.000,116.816765,0
2010.05.01_10:24:00_TAI,10.2,1.542296e+21,8.899540e+21,0.000,113.275658,0
2010.05.01_10:36:00_TAI,10.4,1.474535e+21,8.730974e+21,0.000,110.588631,0
2010.05.01_10:48:00_TAI,10.6,1.400535e+21,8.068535e+21,0.000,107.353050,0
2010.05.01_11:00:00_TAI,10.8,1.368622e+21,7.968571e+21,0.000,107.827049,0
2010.05.01_11:12:00_TAI,11.0,1.355338e+21,7.853328e+21,0.000,105.648582,0
2010.05.01_11:24:00_TAI,11.2,1.318866e+21,7.721088e+21,0.000,102.968994,0
2010.05.01_11:36:00_TAI,11.4,1.254265e+21,7.217052e+21,0.000,103.770164,0
2010.05.01_11:48:00_TAI,11.6,1.256428e+21,7.144409e+21,0.000,102.580048,0
2010.05.01_12:00:00_TAI,11.8,1.230051e+21,7.219153e+21,0.000,102.988144,0
2010.05.01_12:12:00_TAI,12.0,1.195852e+21,6.958242e+21,0.000,102.208710,0
2010.05.01_12:24:00_TAI,12.2,1.223908e+21,7.095496e+21,1.892,100.763779,0
2010.05.01_12:36:00_TAI,12.4,1.208209e+21,6.930188e+21,1.891,99.677055,0
2010.05.01_12:48:00_TAI,12.6,1.201912e+21,6.922172e+21,2.181,99.851288,0
2010.05.01_13:00:00_TAI,12.8,1.206612e+21,7.178327e+21,2.190,98.944107,0
2010.05.01_13:12:00_TAI,13.0,1.170966e+21,7.192985e+21,2.192,101.134972,0
2010.05.01_13:24:00_TAI,13.2,1.192368e+21,7.012274e+21,2.492,101.389633,0
2010.05.01_13:36:00_TAI,13.4,1.166501e+21,7.183869e+21,2.491,101.204971,0
2010.05.01_13:48:00_TAI,13.6,1.139139e+21,6.861594e+21,2.180,98.175888,0
2010.05.01_14:00:00_TAI,13.8,1.181704e+21,7.134147e+21,2.178,99.321640,0
2010.05.01_14:12:00_TAI,14.0,1.177785e+21,7.196993e+21,1.851,99.590965,0
2010.05.01_14:24:00_TAI,14.2,1.209895e+21,7.212238e+21,1.841,100.111237,0
2010.05.01_14:36:00_TAI,14.4,1.183412e+21,6.970370e+21,1.839,98.943298,0
2010.05.01_14:48:00_TAI,14.6,1.143640e+21,6.657721e+21,2.453,99.789696,0
2010.05.01_15:00:00_TAI,14.8,1.094484e+21,6.572972e+21,2.558,99.044403,0
2010.05.01_15:12:00_TAI,15.0,1.108610e+21,6.618864e+21,2.452,99.373695,0
2010.05.01_15:24:00_TAI,15.2,1.092364e+21,6.374249e+21,0.000,98.830162,0
2010.05.01_15:36:00_TAI,15.4,1.058136e+21,6.288022e+21,2.162,98.133728,0
2010.05.01_15:48:00_TAI,15.6,1.073597e+21,6.452874e+21,0.000,99.563690,0
